"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"SYNCRIP:NM_019796:NM_019666",3724.90922461393,-0.138720076256633,0.10595756130009,9.22447259144107e-20,1.4236128550371e-15
"UTRN:NM_011682",14548.3876817651,0.730047856097481,0.0974359978376986,2.53484780605939e-15,1.95601530954573e-11
"BC016423:NM_134063",2200.44057385713,0.199761363988346,0.120705822302148,4.56398103773475e-12,2.34786397851201e-08
"ABCE1:NM_015751",2020.66479492301,0.100629744001408,0.121700789893543,8.58780028678936e-09,3.3133880456505e-05
"MYO1F:NM_053214",1408.30577737705,0.666192179043056,0.173073525582252,1.22105910821534e-08,3.76892104341748e-05
"CDC25B:NM_023117:NM_001111075",6658.14624619184,0.513350925889677,0.117395983060851,4.69903189070843e-08,0.000103600227384719
"TRIM59:NM_025863",2199.67864971793,-0.354355454605907,0.149861729058759,4.07875246461885e-08,0.000103600227384719
"ARHGEF18:NM_133962",10389.9519366423,0.37704874405938,0.0931216243755024,1.17794493127247e-07,0.000177349769186634
"CLEC2D:NM_053109",740.176299015138,-1.35871986647057,0.247259919852766,1.26407533276289e-07,0.000177349769186634
"ITM2A:NM_008409",1065.85150032146,-0.782180166464388,0.154598033301303,1.26341086218022e-07,0.000177349769186634
"TMED5:NM_028876",1719.51674333328,-0.0649267904893691,0.197062539179249,1.20714743409682e-07,0.000177349769186634
"1110002B05RIK:NM_134054",1949.74796004657,-0.449571839398708,0.159930761726408,1.83056620919273e-07,0.000179198107104935
"ITPR1:NM_010585",3261.01615302806,0.62953145440426,0.1238580549153,1.7086881525379e-07,0.000179198107104935
"PDCD4:NM_011050:NM_001168492:NM_001168491",3891.16562417429,-0.423787324404075,0.106416160587433,1.42366951949453e-07,0.000179198107104935
"RPL37:NM_026069",1907.82295894097,-0.717790267081104,0.133818270637904,1.78104004674229e-07,0.000179198107104935
"SRGN:NM_011157",16529.1790805207,-0.178868234298841,0.139082201176037,1.85781747792326e-07,0.000179198107104935
"XYLT1:NM_175645",1526.72496812521,0.862447730793561,0.162533045759772,3.89238871755081e-07,0.000353360206340951
"RUNDC3B:NM_198620",610.959129445023,-0.256864478075997,0.310695087302269,4.97732754306069e-07,0.000426750533178087
"MYO1E:NM_181072",441.100584721374,-0.899248074245445,0.202589017859693,6.53198860108322e-07,0.000530569368844828
"2410129H14RIK:NM_175245",1320.15895410714,-0.217160397661702,0.145418639227005,8.39169565905e-07,0.000647545195530593
"SRGAP3:NM_080448",1139.26376578934,-0.636801563802964,0.167776328623739,1.65856690878809e-06,0.00121888871920603
"MTF2:NM_013827",4247.30206566015,0.138188632429776,0.121332188266081,1.77579240608273e-06,0.00124571837286703
"MORF4L2:NM_001168225:NM_001168226:NM_001168229:NM_019768:NM_001168227:NM_001168228:NM_001168230",1856.65910810633,0.134859257055634,0.2083695115409,1.94524313677528e-06,0.00130525814477621
"LYPLA1:NM_008866",1580.13018080389,-0.315819846237742,0.142016497982414,2.26913453365446e-06,0.00145914805241205
"RAG1:NM_009019",5120.09026959858,0.322894452322251,0.118542108183906,2.45126116134519e-06,0.00151321254012161
"TMEM123:NM_133739",6683.27308794399,-0.297714816496516,0.104782840133203,3.17491649312214e-06,0.00188455716301362
